0.000001 0.000004 0.000013 0.000032 0.000064 0.000110 0.000157 0.000187 0.000187 0.000157 0.000110 0.000064 0.000032 0.000013 0.000004 
0.000004 0.000016 0.000045 0.000110 0.000224 0.000381 0.000544 0.000650 0.000650 0.000544 0.000381 0.000224 0.000110 0.000045 0.000016 
0.000013 0.000045 0.000131 0.000319 0.000650 0.001107 0.001580 0.001887 0.001887 0.001580 0.001107 0.000650 0.000319 0.000131 0.000045 
0.000032 0.000110 0.000319 0.000776 0.001580 0.002693 0.003843 0.004591 0.004591 0.003843 0.002693 0.001580 0.000776 0.000319 0.000110 
0.000064 0.000224 0.000650 0.001580 0.003217 0.005484 0.007826 0.009348 0.009348 0.007826 0.005484 0.003217 0.001580 0.000650 0.000224 
0.000110 0.000381 0.001107 0.002693 0.005484 0.009348 0.013339 0.015935 0.015935 0.013339 0.009348 0.005484 0.002693 0.001107 0.000381 
0.000157 0.000544 0.001580 0.003843 0.007826 0.013339 0.019035 0.022739 0.022739 0.019035 0.013339 0.007826 0.003843 0.001580 0.000544 
0.000187 0.000650 0.001887 0.004591 0.009348 0.015935 0.022739 0.027163 0.027163 0.022739 0.015935 0.009348 0.004591 0.001887 0.000650 
0.000187 0.000650 0.001887 0.004591 0.009348 0.015935 0.022739 0.027163 0.027163 0.022739 0.015935 0.009348 0.004591 0.001887 0.000650 
0.000157 0.000544 0.001580 0.003843 0.007826 0.013339 0.019035 0.022739 0.022739 0.019035 0.013339 0.007826 0.003843 0.001580 0.000544 
0.000110 0.000381 0.001107 0.002693 0.005484 0.009348 0.013339 0.015935 0.015935 0.013339 0.009348 0.005484 0.002693 0.001107 0.000381 
0.000064 0.000224 0.000650 0.001580 0.003217 0.005484 0.007826 0.009348 0.009348 0.007826 0.005484 0.003217 0.001580 0.000650 0.000224 
0.000032 0.000110 0.000319 0.000776 0.001580 0.002693 0.003843 0.004591 0.004591 0.003843 0.002693 0.001580 0.000776 0.000319 0.000110 
0.000013 0.000045 0.000131 0.000319 0.000650 0.001107 0.001580 0.001887 0.001887 0.001580 0.001107 0.000650 0.000319 0.000131 0.000045 
0.000004 0.000016 0.000045 0.000110 0.000224 0.000381 0.000544 0.000650 0.000650 0.000544 0.000381 0.000224 0.000110 0.000045 0.000016 

